주차장관리번호	주차장명	주차장구분	주차장유형	소재지지번주소	소재지도로명주소	소재지(시도)	주차구획수	급지구분	부제시행구분	운영요일	평일운영시작시각	평일운영종료시각	토요일운영시작시각	토요일운영종료시각	공휴일운영시작시각	공휴일운영종료시각	요금정보	주차기본시간	주차기본요금	추가단위시간	추가단위요금	1일주차권요금적용시간	1일주차권요금	월정기권요금	결제방법	특기사항	관리기관명	연락처	위도(WGS84좌표)	경도(WGS84좌표)	데이터기준일자	위도	경도	데이터작성일자	주말운영시작시각	주말운영종료시각	토요일운영종료시각\	1일주차권요금적용시간\	1일주차권	관리기관	경도도(WGS84좌표)
107-2-000010	송중동	공영	노외	서울특별시 강북구 미아동 48-1	서울특별시 강북구 월계로 7길 36(미아동)	서울특별시	53	3	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3038			2016-08-31	37.6116313127	127.033587924								
108-2-000011	시  범	공영	노외	서울특별시 강북구 수유동 190-11	서울특별시 강북구 한천로 139가길 10(수유동)	서울특별시	45	1	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3029			2016-08-31	37.6399530969	127.025773808								
108-2-000012	우이동	공영	노외	서울특별시 강북구 우이동 105-2	서울특별시 강북구 삼양로 155길 33(우이동)	서울특별시	82	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3049			2016-08-31	37.6567136344	127.011591074								
108-2-000013	인수동	공영	노외	서울특별시 강북구 인수동 126	서울특별시 강북구 삼양로 92길 34(수유동)	서울특별시	89	3	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3045			2016-08-31	37.6361703192	127.018535173								
108-2-000014	교통광장	공영	노외	서울특별시 강북구 우이동 265	서울특별시 강북구 삼양로 678(우이동)	서울특별시	56	3	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3027			2016-08-31	37.6633699761	127.012666544								
109-2-000015	미아동(헬스장)	공영	노외	서울특별시 강북구 미아동 222-100	서울특별시 강북구 도봉로 61길 46(미아동)	서울특별시	155	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3048			2016-08-31	37.6285617348	127.022344162								
108-2-000016	번동햇살	공영	노외	서울특별시 강북구 번2동148-380	서울특별시 강북구 오현로21길 84(번동)	서울특별시	187	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3044			2016-08-31	37.625099332	127.033408205								
109-2-000017	수유마을시장	공영	노외	서울특별시 강북구 수유1동55-53	서울특별시 강북구 도봉로69길 27(수유1동)	서울특별시	116	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3053			2016-08-31	37.630749361	127.022177151								
108-2-000018	청암(무인)	공영	노외	서울특별시 강북구 미아동 791-1694	서울특별시 강북구 솔매로 22가길 20(미아동)	서울특별시	47	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6247138275	127.015419441								
108-2-000019	삼양시장길(무인)	공영	노외	서울특별시 강북구 미아동 791-1429	서울특별시 강북구 솔매로 7가길 33(미아동)	서울특별시	43	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.625867055	127.015691551								
108-2-000020	은혜(무인)	공영	노외	서울특별시 강북구 미아동 791-1049	서울특별시 강북구 삼양로 67길 16(미아동)	서울특별시	20	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6279607692	127.01698342								
108-2-000021	번2동(무인)	공영	노외	서울특별시 강북구 번동 148-140	서울특별시 강북구 오현로 21길 6(번동)	서울특별시	20	5	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6267057488	127.036589864								
108-2-000022	냉천길	공영	노외	서울특별시 강북구 미아동 756-1	서울특별시 강북구 삼양로 230-12 외(미아동)	서울특별시	103	3	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3040			2016-08-31	37.6240068436	127.019538054								
109-2-000023	오패산	공영	노외	서울특별시 강북구 미아동 133-100	서울특별시 강북구 도봉로 34길 54(미아동)	서울특별시	76	5	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3041			2016-08-31	37.6220906489	127.031164028								
108-2-000024	수유일공원	공영	노외	서울특별시 강북구 수유동 605-407	서울특별시 강북구 삼양로 79길 5(수유동)	서울특별시	91	3	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3042			2016-08-31	37.6306600567	127.017446246								
107-2-000025	대지시장길(노인)	공영	노외	서울특별시 강북구 미아동 703-8	서울특별시 강북구 솔샘로243-8(미아동)	서울특별시	47	3	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3035			2016-08-31	37.6201432913	127.020239326								
108-2-000026	구세군길(무인)	공영	노외	서울특별시 강북구 미아동 791-1364	서울특별시 강북구 인수봉로20가길21(미아동)	서울특별시	87	5	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3036			2016-08-31	37.6260727543	127.0134713								
108-2-000027	삼양마을공원(노인)	공영	노외	서울특별시 강북구 미아동 748-2	서울특별시 강북구 삼양로47길 15(미아동)	서울특별시	95	3	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3047			2016-08-31	37.6229006423	127.018219238								
107-2-000028	송천동(노인)	공영	노외	서울특별시 강북구 미아동 439-138	서울특별시 강북구 숭인로7나길 23(미아동)	서울특별시	59	5	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3039			2016-08-31	37.6145634275	127.025153423								
108-2-000029	가오리(노인)	공영	노외	서울특별시 강북구 수유동 349-3	서울특별시 강북구 삼양로 107길 30(수유동)	서울특별시	120	5	요일제	평일+토요일+공휴일							유료										대한노인회	02-944-3046			2016-08-31	37.6416055639	127.014987844								
108-2-000030	색동공원	공영	노외	서울특별시 강북구 수유동 49-7	서울특별시 강북구 삼양로80나길 52(수유동)	서울특별시	80	3	요일제	평일+토요일							유료										㈜현준테크	02-985-3492			2016-08-31	37.6331390669	127.020569128								
108-2-000031	수유2동	공영	노외	서울특별시 강북구 수유동 660-30	서울특별시 강북구 한천로160길 40(수유동)	서울특별시	62	5	요일제	평일+토요일							유료										(사)강북구장애인단체	02-900-7443			2016-08-31	37.6460301221	127.021873489								
109-2-000032	송중동(임시)	공영	노외	서울특별시 강북구 미아동 860-123	서울특별시 강북구 도봉로 8길 67 (송중동)	서울특별시	6	3	요일제	평일+토요일							유료										윤호병	02-944-3025			2016-08-31	37.61120246	127.033524306								
109-2-000033	수유쌈지	공영	노외	서울특별시 강북구 수유동 612-6	서울특별시 강북구 도봉로 265(수유동)	서울특별시	19	1	요일제	평일+토요일							유료										황현철	02-944-3025			2016-08-31	37.6320933632	127.023564214								
000-2-000001	신정교 주차장	공영	노외	서울특별시 양천구 신정동 871-3		서울특별시	285	3	미시행	평일+토요일+공휴일	00:00	00:00	00:00	00:00	00:00	00:00	무료	0	0	0	0						서울특별시 양천구청 공원녹지과	02-2620-3592			2016-06-30	37.517172	126.878402								
000-2-000002	한마음	공영	노외	서울특별시 양천구 목동 914-5		서울특별시	474	3	미시행	평일+토요일+공휴일	00:00	00:00	00:00	00:00	00:00	00:00	혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.530767	126.878046								
000-2-000003	바람개비	공영	노외	서울특별시 양천구 목동 919-8		서울특별시	186	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300		9000	70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.530285	126.874151								
000-2-000004	공단본부	공영	노외	서울특별시 양천구 목동 919-5	서울특별시 양천구 목동서로 190	서울특별시	23	3	미시행	평일+토요일	09:00	17:50	00:00	00:00			혼합	10	300	10	300		9000	70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.530393	126.871563								
000-2-000005	목동	공영	노외	서울특별시 양천구 목동 915-0	서울특별시 양천구 목동동로 298	서울특별시	1092	3	미시행	평일+토요일+공휴일	07:00	22:00	08:00	19:00	08:00	19:00	혼합	10	300	10	300		10000	70000	현금+신용카드		서울특별시 양천구청 교통지도과	02-2644-1384			2016-06-30	37.527419	126.876999								
000-2-000006	양천사회단체봉사센터	공영	노외	서울특별시 양천구 목동 905-29	서울특별시 양천구 목동서로 131	서울특별시	22	3	미시행	평일+토요일	09:00	19:00	00:00	00:00			혼합	10	300	10	300		9000	70000	현금+신용카드		서울특별시 양천구청 교통지도과	02-2646-9055			2016-06-30	37.531959	126.875401								
000-2-000007	달마을	공영	노외	서울특별시 양천구 목동 532-18		서울특별시	30	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.544424	126.871574								
000-2-000008	목2동 월촌	공영	노외	서울특별시 양천구 목동 525-0		서울특별시	79	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.546036	126.874808								
000-2-000009	목3동 해운	공영	노외	서울특별시 양천구 목동 711-6	서울특별시 양천구 목동중앙남로14가길 39	서울특별시	64	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.542033	126.865111								
000-2-000010	한두	공영	노외	서울특별시 양천구 목동 610-5	서울특별시 양천구 목동중앙북로7가길	서울특별시	39	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.548771	126.866094								
000-2-000011	도서관	공영	노외	서울특별시 양천구 목동 905-32		서울특별시	48	3	미시행	평일+토요일	09:00	19:00	09:00	15:00			혼합	10	300	10	300		9000	70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.533463	126.876624								
000-2-000012	광장	공영	노외	서울특별시 양천구 목동 907-19		서울특별시	46	3	미시행	평일+토요일	09:00	19:00	09:00	15:00			혼합	10	300	10	300			100000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.535507	126.879401								
000-2-000013	우리	공영	노외	서울특별시 양천구 목동 907-8		서울특별시	45	3	미시행	평일+토요일	09:00	19:00	09:00	15:00			혼합	10	300	10	300			100000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.536671	126.879154								
000-2-000014	목동타운홀	공영	노외	서울특별시 양천구 목동 905-21	서울특별시 양천구 목동동로 345	서울특별시	25	3	미시행	평일+토요일	09:00	19:00	00:00	00:00			혼합	10	300	10	300		9000	70000	현금+신용카드		서울특별시 양천구청 교통지도과	02-2651-3730			2016-06-30	37.532877	126.876896								
000-2-000015	가로공원	공영	노외	서울특별시 양천구 신월동 263-0	서울특별시 양천구 가로공원로 133	서울특별시	376	3	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과	02-2065-8332			2016-06-30	37.537197	126.827427								
000-2-000016	곰달래	공영	노외	서울특별시 양천구 신월동 226-9	서울특별시 양천구 곰달래로10길 4	서울특별시	107	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.529702	126.835973								
000-2-000017	마을마당	공영	노외	서울특별시 양천구 신월동 129-6	서울특별시 양천구 곰달래로3길 13	서울특별시	114	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.530544	126.833128								
000-2-000018	신영시장	공영	노외	서울특별시 양천구 신월동 114-16		서울특별시	23	3	미시행	평일+토요일+공휴일	09:00	19:00	09:00	19:00	09:00	19:00	혼합	10	300	10	300		9000	50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.533088	126.836284								
000-2-000019	당곡	공영	노외	서울특별시 양천구 신월동 482-11		서울특별시	45	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.524465	126.845025								
000-2-000020	신우	공영	노외	서울특별시 양천구 신월동 166-23		서울특별시	107	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.534569	126.828575								
000-2-000021	능골	공영	노외	서울특별시 양천구 신월동 152-38		서울특별시	61	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.533173	126.824559								
000-2-000022	신곡	공영	노외	서울특별시 양천구 신월동 549-18		서울특별시	18	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.517119	126.841018								
000-2-000023	계남	공영	노외	서울특별시 양천구 신월동 562-7		서울특별시	22	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.515281	126.841511								
000-2-000024	신남	공영	노외	서울특별시 양천구 신월동 595-14		서울특별시	50	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.517685	126.845808								
000-2-000025	한울	공영	노외	서울특별시 양천구 신월동 957-10	서울특별시 양천구 지양로7길 29	서울특별시	21	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.520004	126.831741								
000-2-000026	구름다리	공영	노외	서울특별시 양천구 신월동 915-4	서울특별시 양천구 지양로14길 15	서울특별시	52	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.524197	126.832814								
000-2-000027	오솔길	공영	노외	서울특별시 양천구 신월동 963-2	서울특별시 양천구 남부순환로70길 16-8	서울특별시	16	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.522257	126.834774								
000-2-000028	신월7동	공영	노외	서울특별시 양천구 신월동 964-11		서울특별시	7	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.522476	126.835358								
000-2-000029	법마을	공영	노외	서울특별시 양천구 신정동 1018-3		서울특별시	18	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.521636	126.860547								
000-2-000030	단지	공영	노외	서울특별시 양천구 신정동 1182-9		서울특별시	40	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.518223	126.853439								
000-2-000031	다락골	공영	노외	서울특별시 양천구 신정동 1158-1	서울특별시 양천구 중앙로29길 41	서울특별시	102	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.516131	126.849601								
000-2-000032	동개울	공영	노외	서울특별시 양천구 신정동 919-6		서울특별시	40	3	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.527221	126.855564								
000-2-000033	양동북	공영	노외	서울특별시 양천구 신정동 935-17		서울특별시	15	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.527623	126.850801								
000-2-000034	벚꽃길	공영	노외	서울특별시 양천구 신정동 884-8		서울특별시	33	5	미시행	평일+토요일	00:00	00:00	00:00	00:00			혼합	10	100	10	100			50000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.527421	126.860083								
000-2-000035	어울림	공영	노외	서울특별시 양천구 신정동 318-2		서울특별시	32	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			100000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.522152	126.869307								
000-2-000036	문화회관 지하	공영	노외	서울특별시 양천구 신정동 322-0	서울특별시 양천구 목동서로367	서울특별시	93	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			70000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.516574	126.863261								
000-2-000037	문화회관동측	공영	노외	서울특별시 양천구 신정동 322-5		서울특별시	112	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			70000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.517019	126.863725								
000-2-000038	하늘	공영	노외	서울특별시 양천구 신정동 323-33		서울특별시	30	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			100000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.515221	126.861395								
000-2-000039	밝은빛	공영	노외	서울특별시 양천구 신정동 323-18		서울특별시	23	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			100000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.516217	126.861236								
000-2-000040	누리	공영	노외	서울특별시 양천구 신정동 323-13		서울특별시	20	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			70000	현금		서울특별시 양천구청 교통지도과				2016-06-30	37.513561	126.862641								
000-2-000041	문화회관서측	공영	노외	서울특별시 양천구 신정동 323-25		서울특별시	23	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.516383	126.862569								
000-2-000042	신정7동 한사랑교회 앞	공영	노외	서울특별시 양천구 신정동 324-11		서울특별시	125	3	미시행	평일+토요일	09:00	19:00	09:00	19:00			혼합	10	300	10	300		9000		현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.514721	126.860059								
000-1-000043	신정4동길	공영	노상	서울특별시 양천구 신정동 902		서울특별시	139	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.526281	126.861623								
000-1-000044	신정4동 로데오길	공영	노상	서울특별시 양천구 신정동 890		서울특별시	56	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			100000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.527774	126.861883								
000-1-000045	"""신정1,3동 복개"""	공영	노상	서울특별시 양천구 신정동 1031		서울특별시	136	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.520789	126.852913								
000-1-000046	신월1동저지1구역	공영	노상	서울특별시 양천구 신월동 228-1		서울특별시	60	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.529957	126.837778								
000-1-000047	신월1동저지2구역	공영	노상	서울특별시 양천구 신월동 90-1		서울특별시	79	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.536332	126.834037								
000-1-000048	곰달래로5길	공영	노상	서울특별시 양천구 신월동 126-36		서울특별시	79	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.529841	126.834273								
000-1-000049	곰달래로6길	공영	노상	서울특별시 양천구 신월동 217-25		서울특별시	54	3	미시행	평일+토요일	09:00	19:00	09:00	13:00			혼합	10	300	10	300			70000	현금+신용카드		서울특별시 양천구청 교통지도과				2016-06-30	37.526073	126.836619								
